Rk,Season,Conf,W,L,WLPercent,W2,L2,WL2Percent,SRS,SOS,PTS_z,PTS2,AP_Pre,AP_High,AP_Final,NCAA_Tour,Seed,Coaching,Team_z,schoolid,yearid,id,Team,G,MP,FG,FGA,FG_Percent,TwoP,TwoPA,TwoP_Percent,ThreeP,ThreePA,ThreeP_Percent,FT,FTA,FT_Percent,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTSperG,Team_ID,Dates
11,2009,OVC,24,11,1,15,3,1,4,-3,72,63,NULL,NULL,NULL,NULL,NULL,Donnie Tyndall (24-11),morehead-state,1287,2009,1000000,morehead-state,36,NULL,865,1978,0,677,1413,0,188,565,0,593,823,1,498,902,1400,464,239,139,557,657,2511,70,1287,2009
11,2009,SWAC,16,15,1,12,6,1,-14,-12,65,66,NULL,NULL,NULL,NULL,NULL,Lewis Jackson (16-15),alabama-state,1106,2009,1000001,alabama-state,32,NULL,816,1752,0,635,1202,1,181,550,0,389,614,1,358,772,1130,445,182,153,435,558,2202,69,1106,2009
11,2009,Big East,18,16,1,7,11,0,13,9,70,67,12,10,NULL,NULL,NULL,Jim Calhoun (18-16),connecticut,1163,2009,1000002,connecticut,36,7375,996,2102,0,831,1618,1,165,484,0,662,976,1,511,1048,1559,567,209,280,458,471,2819,78,1163,2009
11,2009,Southern,15,18,0,6,12,0,-9,-4,70,72,NULL,NULL,NULL,NULL,NULL,John Shulman (15-18),chattanooga,1151,2009,1000003,chattanooga,35,7075,877,2002,0,588,1181,0,289,821,0,614,935,1,438,936,1374,477,218,79,551,648,2657,76,1151,2009
11,2009,ACC,35,5,1,13,3,1,25,9,77,61,9,3,3,Won National Final,1,Mike Krzyzewski (35-5),duke,1181,2009,1000004,duke,37,7425,971,2186,0,704,1420,0,267,766,0,658,904,1,490,858,1348,492,311,146,454,671,2867,78,1181,2009
11,2009,AEC,13,18,0,8,8,1,-11,-4,62,67,NULL,NULL,NULL,NULL,NULL,Mark Macon (13-18),binghamton,1127,2009,1000005,binghamton,32,6475,778,1764,0,586,1189,0,192,575,0,491,733,1,357,744,1101,383,227,134,431,652,2239,70,1127,2009
11,2009,WCC,27,7,1,12,2,1,12,4,77,67,NULL,13,22,Lost Second Round,8,Mark Few (27-7),gonzaga,1211,2009,1000006,gonzaga,34,6850,967,1982,0,716,1339,1,251,643,0,499,696,1,345,931,1276,512,246,174,386,551,2684,79,1211,2009
11,2009,MAC,24,11,1,12,4,1,3,-2,71,66,NULL,NULL,NULL,NULL,NULL,Keith Dambrot (24-11),akron,1103,2009,1000007,akron,36,7275,823,1969,0,565,1193,0,258,776,0,499,705,1,424,775,1199,446,270,80,490,745,2403,67,1103,2009
11,2009,SEC,11,20,0,2,14,0,1,6,62,66,NULL,NULL,NULL,NULL,NULL,Trent Johnson (11-20),louisiana-state,1261,2009,1000008,louisiana-state,35,7050,937,2093,0,724,1521,0,213,572,0,530,740,1,475,890,1365,529,267,212,425,609,2617,75,1261,2009
11,2009,Horizon,33,5,1,18,0,1,14,5,69,59,11,11,11,Lost National Final,5,Brad Stevens (33-5),butler,1139,2009,1000009,butler,32,6400,705,1609,0,448,878,1,257,731,0,501,692,1,328,766,1094,417,193,102,400,568,2168,68,1139,2009
