Rk,Season,Conf,W,L,WLPercent,W2,L2,WL2Percent,SRS,SOS,PTS,PTS2,AP_Pre,AP_High,AP_Final,NCAA_Tour,Seed,Coaching,Team,SrNames,TeamID,schoolid,yearid,id,Team,G,MP,FG,FGA,FG_Percent,TwoP,TwoPA,TwoP_Percent,ThreeP,ThreePA,ThreeP_Percent,FT,FTA,FT_Percent,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTSperG,Team_ID,Dates
12,2008,MAC,23,13,1,10,6,1,3,-2,67,60,NULL,NULL,NULL,Lost First Round,13,Keith Dambrot (23-13),akron,akron,1103,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,2009,MAC,24,11,1,12,4,1,3,-2,71,66,NULL,NULL,NULL,NULL,NULL,Keith Dambrot (24-11),akron,akron,1103,1103,2009,1000007,akron,36,7275,823,1969,0,565,1193,0,258,776,0,499,705,1,424,775,1199,446,270,80,490,745,2403,67,1103,2009
11,2009,MAC,24,11,1,12,4,1,3,-2,71,66,NULL,NULL,NULL,NULL,NULL,Keith Dambrot (24-11),akron,akron,1103,1103,2009,1000007,akron,36,7275,823,1969,0,565,1193,0,258,776,0,499,705,1,424,775,1199,446,270,80,490,745,2403,67,1103,2009
10,2010,MAC,23,13,1,9,7,1,2,-1,70,66,NULL,NULL,NULL,Lost Second Round,15,Keith Dambrot (23-13),akron,akron,1103,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,2011,MAC,22,12,1,13,3,1,6,1,72,66,NULL,NULL,NULL,NULL,NULL,Keith Dambrot (22-12),akron,akron,1103,1103,2011,1000315,akron,36,7325,892,2073,0,609,1288,0,283,785,0,457,649,1,363,875,1238,520,240,129,432,692,2524,70,1103,2011
9,2011,MAC,22,12,1,13,3,1,6,1,72,66,NULL,NULL,NULL,NULL,NULL,Keith Dambrot (22-12),akron,akron,1103,1103,2011,1000315,akron,36,7325,892,2073,0,609,1288,0,283,785,0,457,649,1,363,875,1238,520,240,129,432,692,2524,70,1103,2011
8,2012,MAC,26,7,1,14,2,1,8,0,72,63,NULL,NULL,NULL,Lost Second Round,12,Keith Dambrot (26-7),akron,akron,1103,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,2013,MAC,21,13,1,12,6,1,1,0,69,67,NULL,NULL,NULL,NULL,NULL,Keith Dambrot (21-13),akron,akron,1103,1103,2013,1000561,akron,33,6700,852,1874,0,623,1185,1,229,689,0,436,678,1,425,720,1145,485,231,189,458,577,2369,72,1103,2013
7,2013,MAC,21,13,1,12,6,1,1,0,69,67,NULL,NULL,NULL,NULL,NULL,Keith Dambrot (21-13),akron,akron,1103,1103,2013,1000561,akron,33,6700,852,1874,0,623,1185,1,229,689,0,436,678,1,425,720,1145,485,231,189,458,577,2369,72,1103,2013
6,2014,MAC,21,14,1,9,9,1,4,0,68,63,NULL,NULL,NULL,NULL,NULL,Keith Dambrot (21-14),akron,akron,1103,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
