team_id,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G,W-L%,SRS,SOS,opp_PPG,Seed
100001,904,1976,0.457,749,1494,0.501,155,482,0.322,636,871,0.73,412.0,894.0,1306,537,255,192,510.0,496.0,76.4,.794,18.97,9.70,67.2,1
100002,874,2118,0.413,647,1423,0.455,227,695,0.327,448,684,0.655,533.0,802.0,1335,438,247,110,450.0,582.0,71.3,.706,13.59,8.20,64.4,7
100003,965,2014,0.479,705,1299,0.5429999999999999,260,715,0.364,529,795,0.665,409.0,916.0,1325,587,202,150,469.0,651.0,77.7,.743,16.38,4.64,65.9,10
100004,1038,2140,0.485,848,1622,0.523,190,518,0.36700000000000005,632,899,0.703,452.0,970.0,1422,565,277,119,518.0,566.0,78.3,.865,19.08,7.14,65.1,2
100005,793,1873,0.423,605,1230,0.49200000000000005,188,643,0.292,506,735,0.688,473.0,827.0,1300,427,201,185,502.0,537.0,69.1,.697,18.52,12.71,62.8,5
100006,915,1880,0.48700000000000004,719,1322,0.544,196,558,0.35100000000000003,552,858,0.643,448.0,925.0,1373,503,313,180,593.0,549.0,75.8,.824,18.90,5.78,62.7,4
100007,1001,2151,0.465,806,1598,0.504,195,553,0.353,486,710,0.685,476.0,878.0,1354,667,355,235,570.0,638.0,76.7,.714,17.93,9.44,68.2,3
100008,1018,2148,0.474,765,1479,0.517,253,669,0.37799999999999995,600,816,0.735,521.0,1000.0,1521,602,256,105,569.0,721.0,74.1,.821,25.04,9.91,58.9,1
100009,917,2004,0.45799999999999996,654,1317,0.49700000000000005,263,687,0.38299999999999995,449,632,0.71,443.0,811.0,1254,525,241,89,435.0,643.0,74.9,.794,19.25,6.63,62.3,3
100010,849,1914,0.444,643,1325,0.485,206,589,0.35,601,879,0.684,473.0,752.0,1225,482,261,104,505.0,597.0,73.7,.706,16.87,9.56,66.1,6
100011,699,1671,0.418,483,1059,0.456,216,612,0.353,429,602,0.713,431.0,702.0,1133,443,352,89,399.0,531.0,61.9,.758,14.26,6.96,66.4,2
100012,876,1869,0.469,705,1386,0.509,171,483,0.354,477,677,0.705,440.0,759.0,1199,564,286,167,448.0,506.0,75.0,.813,17.67,6.20,63.5,4
100013,876,1870,0.46799999999999997,691,1381,0.5,185,489,0.37799999999999995,523,810,0.6459999999999999,431.0,865.0,1296,481,244,168,515.0,594.0,74.5,.727,20.43,9.61,63.7,5
100014,952,1984,0.48,747,1432,0.522,205,552,0.371,383,652,0.5870000000000001,447.0,805.0,1252,545,282,145,549.0,626.0,75.5,.636,15.29,10.11,70.3,6
100015,782,1624,0.48200000000000004,560,1050,0.5329999999999999,222,574,0.387,466,648,0.7190000000000001,326.0,751.0,1077,496,198,89,462.0,586.0,70.4,.719,12.23,4.36,61.8,8
100016,765,1793,0.42700000000000005,558,1191,0.469,207,602,0.344,420,617,0.6809999999999999,298.0,809.0,1107,478,236,102,408.0,658.0,59.9,.611,16.67,12.50,55.8,8
100017,898,1871,0.48,733,1412,0.519,165,459,0.359,599,854,0.701,405.0,872.0,1277,513,236,223,448.0,566.0,77.6,.879,24.62,8.50,61.5,2
100018,956,2071,0.462,772,1594,0.484,184,477,0.386,515,707,0.728,506.0,867.0,1373,529,230,179,495.0,596.0,74.6,.714,16.93,7.58,65.3,5
100019,1045,2172,0.48100000000000004,761,1430,0.532,284,742,0.38299999999999995,618,833,0.742,453.0,860.0,1313,584,333,191,480.0,552.0,88.0,.853,25.55,8.88,71.3,1
100020,1104,2299,0.48,838,1567,0.535,266,732,0.363,628,885,0.71,538.0,914.0,1452,611,365,141,607.0,750.0,83.8,.784,23.48,8.51,68.9,5
100021,834,1925,0.433,603,1273,0.474,231,652,0.354,525,763,0.688,397.0,780.0,1177,499,297,119,458.0,619.0,75.8,.688,19.73,9.60,65.6,4
100022,1044,2269,0.46,885,1806,0.49,159,463,0.34299999999999997,429,660,0.65,564.0,941.0,1505,630,312,187,589.0,725.0,78.7,.706,17.94,9.79,70.1,8
100023,849,1971,0.431,717,1531,0.46799999999999997,132,440,0.3,516,690,0.748,489.0,793.0,1282,498,286,126,504.0,615.0,69.0,.676,11.83,5.39,62.6,6
100024,1014,2066,0.491,845,1574,0.537,169,492,0.34299999999999997,518,740,0.7,436.0,958.0,1394,609,210,178,536.0,580.0,75.4,.611,17.00,11.80,70.2,8
100025,797,1748,0.456,652,1292,0.505,145,456,0.318,443,629,0.7040000000000001,381.0,745.0,1126,387,194,200,377.0,521.0,72.7,.767,17.55,6.55,61.7,3
100026,933,1946,0.479,717,1387,0.517,216,559,0.386,538,768,0.701,393.0,918.0,1311,642,260,122,484.0,578.0,77.1,.794,20.01,6.59,62.3,3
100027,929,2094,0.444,692,1406,0.49200000000000005,237,688,0.344,386,577,0.669,420.0,875.0,1295,494,319,99,504.0,659.0,73.0,.735,13.11,3.35,63.2,11
100028,807,1865,0.433,557,1180,0.47200000000000003,250,685,0.365,431,636,0.6779999999999999,431.0,780.0,1211,458,225,198,476.0,551.0,71.7,.688,10.64,5.11,66.2,10
100029,819,1750,0.46799999999999997,574,1137,0.505,245,613,0.4,564,794,0.71,399.0,910.0,1309,539,141,167,450.0,518.0,78.9,.871,25.65,7.12,59.7,1
100030,790,1913,0.413,516,1126,0.45799999999999996,274,787,0.348,406,619,0.6559999999999999,497.0,790.0,1287,471,312,140,324.0,459.0,68.5,.818,20.64,6.94,54.8,2
100031,909,2019,0.45,643,1283,0.501,266,736,0.361,545,798,0.6829999999999999,480.0,834.0,1314,481,290,193,520.0,618.0,79.7,.788,18.94,8.12,67.8,4
100032,1050,2223,0.47200000000000003,786,1459,0.539,264,764,0.34600000000000003,610,865,0.705,480.0,910.0,1390,631,433,175,571.0,730.0,80.4,.865,19.94,2.42,62.9,7
100033,766,1875,0.409,675,1513,0.446,91,362,0.251,582,911,0.639,528.0,815.0,1343,414,252,172,627.0,673.0,66.8,.515,-12.19,-10.38,68.2,16
100034,819,1717,0.47700000000000004,530,1023,0.518,289,694,0.41600000000000004,483,671,0.72,315.0,769.0,1084,510,262,77,484.0,605.0,73.0,.697,8.28,1.64,66.4,10
100035,849,1823,0.466,684,1320,0.518,165,503,0.32799999999999996,406,577,0.7040000000000001,382.0,663.0,1045,518,286,136,490.0,569.0,73.2,.613,14.93,8.76,66.2,7
