Team,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTS/G,Team_ID,Date
arizona,34.0,,904,1976,.457,749,1494,.501,155,482,.322,636,871,.730,412,894,1306,537,255,192,510,496,2599,76.4,1112.0,2000.0
auburn,34.0,,874,2118,.413,647,1423,.455,227,695,.327,448,684,.655,533,802,1335,438,247,110,450,582,2423,71.3,1120.0,2000.0
gonzaga,35.0,,965,2014,.479,705,1299,.543,260,715,.364,529,795,.665,409,916,1325,587,202,150,469,651,2719,77.7,1211.0,2000.0
iowa-state,37.0,,1038,2140,.485,848,1622,.523,190,518,.367,632,899,.703,452,970,1422,565,277,119,518,566,2898,78.3,1235.0,2000.0
kentucky,33.0,,793,1873,.423,605,1230,.492,188,643,.292,506,735,.688,473,827,1300,427,201,185,502,537,2280,69.1,1246.0,2000.0
louisiana-state,34.0,,915,1880,.487,719,1322,.544,196,558,.351,552,858,.643,448,925,1373,503,313,180,593,549,2578,75.8,1261.0,2000.0
maryland,35.0,,1001,2151,.465,806,1598,.504,195,553,.353,486,710,.685,476,878,1354,667,355,235,570,638,2683,76.7,1268.0,2000.0
michigan-state,39.0,,1018,2148,.474,765,1479,.517,253,669,.378,600,816,.735,521,1000,1521,602,256,105,569,721,2889,74.1,1277.0,2000.0
oklahoma,34.0,,917,2004,.458,654,1317,.497,263,687,.383,449,632,.710,443,811,1254,525,241,89,435,643,2546,74.9,1328.0,2000.0
purdue,34.0,,849,1914,.444,643,1325,.485,206,589,.350,601,879,.684,473,752,1225,482,261,104,505,597,2505,73.7,1345.0,2000.0
st-johns-ny,33.0,,699,1671,.418,483,1059,.456,216,612,.353,429,602,.713,431,702,1133,443,352,89,399,531,2043,61.9,1385.0,2000.0
syracuse,32.0,,876,1869,.469,705,1386,.509,171,483,.354,477,677,.705,440,759,1199,564,286,167,448,506,2400,75.0,1393.0,2000.0
texas,33.0,,876,1870,.468,691,1381,.500,185,489,.378,523,810,.646,431,865,1296,481,244,168,515,594,2460,74.5,1400.0,2000.0
ucla,33.0,,952,1984,.480,747,1432,.522,205,552,.371,383,652,.587,447,805,1252,545,282,145,549,626,2492,75.5,1417.0,2000.0
utah,32.0,,782,1624,.482,560,1050,.533,222,574,.387,466,648,.719,326,751,1077,496,198,89,462,586,2252,70.4,1428.0,2000.0
wisconsin,36.0,,765,1793,.427,558,1191,.469,207,602,.344,420,617,.681,298,809,1107,478,236,102,408,658,2157,59.9,1458.0,2000.0
cincinnati,33.0,,898,1871,.480,733,1412,.519,165,459,.359,599,854,.701,405,872,1277,513,236,223,448,566,2560,77.6,1153.0,2000.0
connecticut,35.0,,956,2071,.462,772,1594,.484,184,477,.386,515,707,.728,506,867,1373,529,230,179,495,596,2611,74.6,1163.0,2000.0
duke,34.0,,1045,2172,.481,761,1430,.532,284,742,.383,618,833,.742,453,860,1313,584,333,191,480,552,2992,88.0,1181.0,2000.0
florida,37.0,,1104,2299,.480,838,1567,.535,266,732,.363,628,885,.710,538,914,1452,611,365,141,607,750,3102,83.8,1196.0,2000.0
illinois,32.0,,834,1925,.433,603,1273,.474,231,652,.354,525,763,.688,397,780,1177,499,297,119,458,619,2424,75.8,1228.0,2000.0
kansas,34.0,6825.0,1044,2269,.460,885,1806,.490,159,463,.343,429,660,.650,564,941,1505,630,312,187,589,725,2676,78.7,1242.0,2000.0
miami-fl,34.0,,849,1971,.431,717,1531,.468,132,440,.300,516,690,.748,489,793,1282,498,286,126,504,615,2346,69.0,1274.0,2000.0
north-carolina,36.0,,1014,2066,.491,845,1574,.537,169,492,.343,518,740,.700,436,958,1394,609,210,178,536,580,2715,75.4,1314.0,2000.0
ohio-state,30.0,,797,1748,.456,652,1292,.505,145,456,.318,443,629,.704,381,745,1126,387,194,200,377,521,2182,72.7,1326.0,2000.0
oklahoma-state,34.0,,933,1946,.479,717,1387,.517,216,559,.386,538,768,.701,393,918,1311,642,260,122,484,578,2620,77.1,1329.0,2000.0
pepperdine,34.0,,929,2094,.444,692,1406,.492,237,688,.344,386,577,.669,420,875,1295,494,319,99,504,659,2481,73.0,1337.0,2000.0
seton-hall,32.0,,807,1865,.433,557,1180,.472,250,685,.365,431,636,.678,431,780,1211,458,225,198,476,551,2295,71.7,1371.0,2000.0
