teamid,schoolid,yearid
1000000,1103,2009
1000001,1103,2011
1000002,1103,2013
1000003,1104,2012
1000004,1106,2009
1000005,1106,2011
1000006,1107,2013
1000007,1107,2014
1000008,1107,2015
1000009,1110,2009
1000010,1110,2014
1000011,1112,2009
1000012,1112,2011
1000013,1112,2013
1000014,1112,2014
1000015,1112,2015
1000016,1112,2016
1000017,1112,2017
1000018,1113,2009
1000019,1113,2014
1000020,1114,2011
1000021,1114,2016
1000022,1115,2010
1000023,1116,2015
1000024,1116,2017
1000025,1122,2016
1000026,1124,2010
1000027,1124,2012
1000028,1124,2014
1000029,1124,2015
1000030,1124,2016
1000031,1124,2017
1000032,1125,2011
1000033,1125,2012
1000034,1125,2013
1000035,1125,2015
1000036,1127,2009
1000037,1129,2013
1000038,1129,2015
1000039,1130,2009
1000040,1131,2011
1000041,1137,2011
1000042,1137,2013
1000043,1137,2017
1000044,1138,2015
1000045,1138,2016
1000046,1139,2009
1000047,1139,2010
1000048,1139,2011
1000049,1139,2013
1000050,1139,2015
1000051,1139,2016
1000052,1139,2017
1000053,1140,2009
1000054,1140,2010
1000055,1140,2011
1000056,1140,2012
1000057,1140,2014
1000058,1140,2015
1000059,1142,2014
1000060,1143,2009
1000061,1143,2010
1000062,1143,2012
1000063,1143,2013
1000064,1143,2016
1000065,1151,2009
1000066,1151,2016
1000067,1153,2011
1000068,1153,2012
1000069,1153,2013
1000070,1153,2014
1000071,1153,2015
1000072,1153,2016
1000073,1153,2017
1000074,1155,2009
1000075,1155,2010
1000076,1155,2011
1000077,1156,2009
1000078,1157,2014
1000079,1157,2015
1000080,1160,2012
1000081,1160,2013
1000082,1160,2014
1000083,1160,2016
1000084,1161,2012
1000085,1161,2013
1000086,1163,2009
1000087,1163,2011
1000088,1163,2012
1000089,1163,2014
1000090,1163,2016
1000091,1165,2009
1000092,1165,2010
1000093,1166,2012
1000094,1166,2013
1000095,1166,2014
1000096,1166,2017
1000097,1167,2016
1000098,1169,2009
1000099,1172,2012
1000100,1172,2013
1000101,1172,2015
