DayNum,Winner,WScore,Loser,LScore,Identifier
134,1000306,58,1000004,43,1
134,1000022,61,1000630,44,2
134,1000076,70,1000531,52,3
134,1000544,81,1000020,77,4
134,1000056,78,1000180,72,5
134,1000602,59,1000310,58,6
134,1000324,73,1000227,72,7
134,1000484,67,1000313,54,8
134,1000007,71,1000311,64,9
134,1000330,74,1000651,59,10
134,1000162,74,1000247,64,11
134,1000294,94,1000058,90,12
134,1000125,96,1000123,65,13
134,1000627,70,1000579,50,14
134,1000211,95,1000607,88,15
134,1000312,67,1000347,66,16
134,1000433,71,1000233,61,17
134,1000474,65,1000541,58,18
135,1000496,60,NULL,56,19
135,1000530,64,1000327,46,20
135,1000533,67,1000326,63,21
135,1000557,75,1000422,71,22
135,1000169,59,1000472,55,23
135,1000276,67,1000526,62,24
135,1000104,56,1000038,55,25
135,1000440,81,1000359,77,26
135,1000059,81,1000527,69,27
135,1000507,78,1000185,65,28
135,1000195,68,1000232,55,29
135,1000222,80,1000037,71,30
135,1000469,65,1000062,54,31
135,1000582,71,1000224,59,32
135,1000558,70,1000005,61,33
135,1000567,59,1000555,46,34
136,1000048,60,1000400,58,35
136,1000055,74,1000642,66,36
136,1000067,78,1000298,63,37
136,1000087,81,1000041,52,38
136,1000128,79,1000455,51,39
136,1000153,86,1000475,71,40
136,1000207,73,1000564,68,41
136,1000215,59,1000417,57,42
136,1000307,62,1000236,61,43
136,1000412,74,1000544,51,44
136,1000437,69,1000577,66,45
136,1000448,68,1000319,50,46
136,1000500,66,1000409,64,47
136,1000536,78,1000281,76,48
136,1000615,84,1000076,76,49
136,1000634,72,1000032,58,50
136,1000027,68,1000441,60,51
136,1000080,68,1000552,64,52
136,1000154,77,1000616,54,53
136,1000175,79,1000341,66,54
136,1000188,77,1000088,64,55
136,1000208,70,1000470,64,56
136,1000216,81,1000602,66,57
136,1000237,69,1000099,62,58
136,1000251,88,1000056,68,59
136,1000317,58,1000084,41,60
136,1000337,75,1000229,68,61
136,1000382,78,1000242,59,62
136,1000492,72,1000545,65,63
136,1000568,62,1000623,59,64
136,1000578,79,1000164,70,65
136,1000635,73,1000303,49,66
136,1000026,68,1000446,59,67
136,1000047,77,1000565,59,68
136,1000054,99,1000127,92,69
136,1000197,90,1000225,74,70
136,1000206,82,1000360,62,71
136,1000214,100,1000121,71,72
136,1000316,66,1000576,65,73
136,1000336,62,1000302,57,74
136,1000363,69,1000550,66,75
136,1000377,97,1000142,83,76
136,1000399,51,1000368,50,77
136,1000482,80,1000436,71,78
136,1000505,62,1000447,59,79
136,1000585,73,1000439,70,80
136,1000606,81,1000510,80,81
136,1000609,80,1000249,78,82
136,1000086,103,1000065,47,83
136,1000109,86,1000036,62,84
136,1000151,77,1000000,64,85
136,1000244,75,1000046,71,86
136,1000255,84,1000060,71,87
136,1000261,81,1000098,70,88
136,1000271,62,1000074,59,89
136,1000349,101,1000432,58,90
136,1000387,82,1000308,54,91
136,1000424,61,1000362,56,92
136,1000509,76,1000289,62,93
136,1000517,79,1000053,66,94
136,1000535,65,1000566,64,95
136,1000584,80,1000009,67,96
136,1000601,76,1000172,72,97
136,1000608,71,1000295,58,98
136,1000013,81,1000034,64,99
136,1000049,68,1000042,56,100
136,1000063,64,1000553,61,101
136,1000085,84,1000300,72,102
136,1000155,64,1000471,58,103
136,1000165,68,1000338,62,104
136,1000238,79,1000324,48,105
136,1000252,59,1000100,58,106
136,1000264,54,1000484,52,107
136,1000274,71,1000442,56,108
136,1000283,65,1000574,54,109
136,1000401,68,1000395,55,110
136,1000480,64,1000342,44,111
136,1000493,81,1000304,34,112
136,1000569,88,1000002,42,113
136,1000624,73,1000413,55,114
136,1000089,89,1000477,81,115
