Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT
2009,134,1287,58,1106,43,N,0
2009,136,1163,103,1151,47,N,0
2009,136,1181,86,1127,62,N,0
2009,136,1211,77,1103,64,N,0
2009,136,1261,75,1139,71,N,0
2009,136,1268,84,1143,71,N,0
2009,136,1272,81,1169,70,N,0
2009,136,1276,62,1155,59,N,0
2009,136,1314,101,1347,58,N,0
2009,136,1328,82,1288,54,N,0
2009,136,1345,61,1320,56,N,0
2009,136,1400,76,1278,62,N,0
2009,136,1401,79,1140,66,N,0
2009,136,1417,65,1433,64,N,0
2009,136,1437,80,1110,67,N,0
2009,136,1443,76,1228,72,N,0
2009,136,1449,71,1280,58,N,0
2009,137,1112,84,1428,71,N,0
2009,137,1113,66,1396,57,N,0
2009,137,1156,84,1448,69,N,0
2009,137,1173,68,1452,60,N,0
2009,137,1242,84,1295,74,N,0
2009,137,1257,74,1287,54,N,0
2009,137,1266,58,1429,57,N,0
2009,137,1277,77,1352,62,N,0
2009,137,1281,78,1165,59,N,0
2009,137,1329,77,1397,75,N,0
2009,137,1338,72,1190,62,N,0
2009,137,1373,74,1326,72,N,2
2009,137,1393,59,1372,44,N,0
2009,137,1425,72,1130,55,N,0
2009,137,1458,61,1199,59,N,1
2009,137,1462,77,1340,59,N,0
2009,138,1163,92,1401,66,N,0
2009,138,1181,74,1400,69,N,0
2009,138,1211,83,1443,81,N,0
2009,138,1272,89,1268,70,N,0
2009,138,1314,84,1261,70,N,0
2009,138,1328,73,1276,63,N,0
2009,138,1345,76,1449,74,N,0
2009,138,1437,89,1417,69,N,0
2009,139,1112,71,1156,57,N,0
2009,139,1242,60,1173,43,N,0
2009,139,1257,79,1373,72,N,0
2009,139,1277,74,1425,69,N,0
2009,139,1281,83,1266,79,N,0
2009,139,1338,84,1329,76,N,0
2009,139,1393,78,1113,67,N,0
2009,139,1462,60,1458,49,N,0
2009,143,1163,72,1345,60,N,0
2009,143,1281,102,1272,91,N,0
2009,143,1338,60,1462,55,N,0
2009,143,1437,77,1181,54,N,0
2009,144,1257,103,1112,64,N,0
2009,144,1277,67,1242,62,N,0
2009,144,1314,98,1211,77,N,0
2009,144,1328,84,1393,71,N,0
2009,145,1163,82,1281,75,N,0
2009,145,1437,78,1338,76,N,0
2009,146,1277,64,1257,52,N,0
2009,146,1314,72,1328,60,N,0
2009,152,1277,82,1163,73,N,0
2009,152,1314,83,1437,69,N,0
2009,154,1314,89,1277,72,N,0
2010,134,1115,61,1457,44,N,0
2010,136,1124,68,1358,59,N,0
2010,136,1139,77,1431,59,N,0
2010,136,1140,99,1196,92,N,2
2010,136,1242,90,1250,74,N,0
2010,136,1243,82,1317,62,N,0
2010,136,1246,100,1190,71,N,0
2010,136,1293,66,1435,65,N,0
2010,136,1307,62,1285,57,N,0
2010,136,1320,69,1424,66,N,0
2010,136,1325,97,1207,83,N,0
2010,136,1330,51,1323,50,N,0
2010,136,1388,80,1350,71,N,0
2010,136,1397,62,1361,59,N,0
2010,136,1437,73,1352,70,N,1
2010,136,1448,81,1400,80,N,1
2010,136,1449,80,1266,78,N,0
2010,137,1143,77,1257,62,N,0
2010,137,1165,78,1396,65,N,0
2010,137,1181,73,1115,44,N,0
2010,137,1210,64,1329,59,N,0
2010,137,1211,67,1199,60,N,0
2010,137,1268,89,1222,77,N,0
2010,137,1277,70,1308,67,N,0
2010,137,1281,86,1155,78,N,0
2010,137,1326,68,1364,51,N,0
2010,137,1338,89,1324,66,N,0
2010,137,1345,72,1373,64,N,0
2010,137,1393,79,1436,56,N,0
2010,137,1401,69,1429,53,N,0
2010,137,1452,77,1288,50,N,0
2010,137,1458,53,1459,49,N,0
2010,137,1462,65,1278,54,N,0
2010,138,1124,76,1330,68,N,0
2010,138,1139,54,1293,52,N,0
2010,138,1243,84,1140,72,N,0
2010,138,1246,90,1448,60,N,0
2010,138,1320,69,1242,67,N,0
2010,138,1388,75,1437,68,N,0
2010,138,1397,83,1325,68,N,0
2010,138,1449,82,1307,64,N,0
2010,139,1165,87,1458,69,N,0
2010,139,1181,68,1143,53,N,0
2010,139,1277,85,1268,83,N,0
2010,139,1326,75,1210,66,N,0
2010,139,1345,63,1401,61,N,1
2010,139,1393,87,1211,65,N,0
2010,139,1452,68,1281,59,N,0
2010,139,1462,71,1338,68,N,0
2010,143,1139,63,1393,59,N,0
2010,143,1243,101,1462,96,N,2
2010,143,1246,62,1165,45,N,0
2010,143,1452,69,1449,56,N,0
2010,144,1124,72,1388,49,N,0
2010,144,1181,70,1345,57,N,0
2010,144,1277,59,1320,52,N,0
2010,144,1397,76,1326,73,N,0
2010,145,1139,63,1243,56,N,0
2010,145,1452,73,1246,66,N,0
2010,146,1181,78,1124,71,N,0
2010,146,1277,70,1397,69,N,0
2010,152,1139,52,1277,50,N,0
2010,152,1181,78,1452,57,N,0
2010,154,1181,61,1139,59,N,0
2011,134,1155,70,1412,52,N,0
2011,134,1421,81,1114,77,N,1
2011,135,1427,70,1106,61,N,0
2011,135,1433,59,1425,46,N,0
2011,136,1139,60,1330,58,N,0
2011,136,1140,74,1459,66,N,0
2011,136,1153,78,1281,63,N,0
2011,136,1163,81,1137,52,N,0
2011,136,1196,79,1364,51,N,0
2011,136,1211,86,1385,71,N,0
2011,136,1243,73,1429,68,N,0
2011,136,1246,59,1343,57,N,0
2011,136,1287,62,1257,61,N,0
2011,136,1338,74,1421,51,N,0
2011,136,1350,69,1435,66,N,0
2011,136,1361,68,1294,50,N,0
2011,136,1396,66,1336,64,N,0
2011,136,1417,78,1277,76,N,0
2011,136,1452,84,1155,76,N,0
2011,136,1458,72,1125,58,N,0
2011,137,1112,77,1272,75,N,0
2011,137,1181,87,1214,45,N,0
2011,137,1199,57,1401,50,N,0
2011,137,1206,61,1437,57,N,0
2011,137,1228,73,1424,62,N,0
2011,137,1242,72,1131,53,N,0
2011,137,1266,66,1462,55,N,0
2011,137,1276,75,1397,45,N,0
2011,137,1314,102,1254,87,N,0
2011,137,1323,69,1103,56,N,0
2011,137,1326,75,1427,46,N,0
2011,137,1345,65,1389,43,N,0
2011,137,1393,77,1232,60,N,0
2011,137,1400,85,1324,81,N,0
2011,137,1433,74,1207,56,N,0
2011,137,1449,68,1208,65,N,0
2011,138,1139,71,1338,70,N,0
2011,138,1140,89,1211,67,N,0
2011,138,1163,69,1153,58,N,0
2011,138,1196,73,1417,65,N,0
2011,138,1246,71,1452,63,N,0
2011,138,1350,65,1287,48,N,0
2011,138,1361,71,1396,64,N,2
2011,138,1458,70,1243,65,N,0
2011,139,1112,70,1400,69,N,0
2011,139,1181,73,1276,71,N,0
2011,139,1199,71,1323,57,N,0
2011,139,1242,73,1228,59,N,0
2011,139,1266,66,1393,62,N,0
2011,139,1314,86,1449,83,N,0
2011,139,1326,98,1206,66,N,0
2011,139,1433,94,1345,76,N,0
2011,143,1112,93,1181,77,N,0
2011,143,1139,61,1458,54,N,0
2011,143,1163,74,1361,67,N,0
2011,143,1196,83,1140,74,N,1
2011,144,1242,77,1350,57,N,0
2011,144,1246,62,1326,60,N,0
2011,144,1314,81,1266,63,N,0
2011,144,1433,72,1199,71,N,1
2011,145,1139,74,1196,71,N,1
2011,145,1163,65,1112,63,N,0
2011,146,1246,76,1314,69,N,0
2011,146,1433,71,1242,61,N,0
2011,152,1139,70,1433,62,N,0
2011,152,1163,56,1246,55,N,0
2011,154,1163,53,1139,41,N,0
2012,134,1140,78,1233,72,N,0
2012,134,1443,59,1290,58,N,0
2012,135,1378,65,1143,54,N,0
2012,135,1436,71,1249,59,N,0
2012,136,1124,68,1355,60,N,0
2012,136,1160,68,1424,64,N,0
2012,136,1211,77,1452,54,N,0
2012,136,1231,79,1308,66,N,0
2012,136,1235,77,1163,64,N,0
2012,136,1243,70,1379,64,N,0
2012,136,1246,81,1443,66,N,0
2012,136,1257,69,1172,62,N,0
2012,136,1266,88,1140,68,N,0
2012,136,1293,58,1161,41,N,0
2012,136,1307,75,1253,68,N,0
2012,136,1326,78,1259,59,N,0
2012,136,1393,72,1421,65,N,0
2012,136,1433,62,1455,59,N,0
2012,136,1435,79,1217,70,N,0
2012,136,1458,73,1285,49,N,0
2012,137,1153,65,1400,59,N,0
2012,137,1166,58,1104,57,N,0
2012,137,1196,71,1438,45,N,0
2012,137,1199,66,1382,63,N,0
2012,137,1207,74,1125,59,N,0
2012,137,1242,65,1178,50,N,0
2012,137,1250,75,1181,70,N,0
2012,137,1277,89,1254,67,N,0
2012,137,1301,79,1361,65,N,0
2012,137,1313,86,1281,84,N,0
2012,137,1314,77,1436,58,N,0
2012,137,1325,65,1276,60,N,0
2012,137,1345,72,1388,69,N,0
2012,137,1378,58,1396,44,N,0
2012,137,1387,61,1272,54,N,0
2012,137,1462,67,1323,63,N,0
2012,138,1124,80,1160,63,N,0
2012,138,1231,63,1433,61,N,0
2012,138,1246,87,1235,71,N,0
2012,138,1257,59,1307,56,N,0
2012,138,1266,62,1293,53,N,0
2012,138,1326,73,1211,66,N,0
2012,138,1393,75,1243,59,N,0
2012,138,1458,60,1435,57,N,0
2012,139,1153,62,1199,56,N,0
2012,139,1196,84,1313,50,N,0
2012,139,1242,63,1345,60,N,0
2012,139,1277,65,1387,61,N,0
2012,139,1301,66,1207,63,N,0
2012,139,1314,87,1166,73,N,0
2012,139,1325,62,1378,56,N,0
2012,139,1462,70,1250,58,N,0
2012,143,1196,68,1266,58,N,0
2012,143,1257,57,1277,44,N,0
2012,143,1326,81,1153,66,N,0
2012,143,1393,64,1458,63,N,0
2012,144,1124,75,1462,70,N,0
2012,144,1242,60,1301,57,N,0
2012,144,1246,102,1231,90,N,0
2012,144,1314,73,1325,65,N,1
2012,145,1257,72,1196,68,N,0
2012,145,1326,77,1393,70,N,0
2012,146,1242,80,1314,67,N,0
2012,146,1246,82,1124,70,N,0
