teamid,schoolid,yearid
1000000,1287,2009
1000001,1106,2009
1000002,1163,2009
1000003,1151,2009
1000004,1181,2009
1000005,1127,2009
1000006,1211,2009
1000007,1103,2009
1000008,1261,2009
1000009,1139,2009
1000010,1268,2009
1000011,1143,2009
1000012,1272,2009
1000013,1169,2009
1000014,1276,2009
1000015,1155,2009
1000016,1314,2009
1000017,1347,2009
1000018,1328,2009
1000019,1288,2009
1000020,1345,2009
1000021,1320,2009
1000022,1400,2009
1000023,1278,2009
1000024,1401,2009
1000025,1140,2009
1000026,1417,2009
1000027,1433,2009
1000028,1437,2009
1000029,1110,2009
1000030,1443,2009
1000031,1228,2009
1000032,1449,2009
1000033,1280,2009
1000034,1112,2009
1000035,1428,2009
1000036,1113,2009
1000037,1396,2009
1000038,1156,2009
1000039,1448,2009
1000040,1173,2009
1000041,1452,2009
1000042,1242,2009
1000043,1295,2009
1000044,1257,2009
1000046,1266,2009
1000047,1429,2009
1000048,1277,2009
1000049,1352,2009
1000050,1281,2009
1000051,1165,2009
1000052,1329,2009
1000053,1397,2009
1000054,1338,2009
1000055,1190,2009
1000056,1373,2009
1000057,1326,2009
1000058,1393,2009
1000059,1372,2009
1000060,1425,2009
1000061,1130,2009
1000062,1458,2009
1000063,1199,2009
1000064,1462,2009
1000065,1340,2009
1000128,1115,2010
1000129,1457,2010
1000130,1124,2010
1000131,1358,2010
1000132,1139,2010
1000133,1431,2010
1000134,1140,2010
1000135,1196,2010
1000136,1242,2010
1000137,1250,2010
1000138,1243,2010
1000139,1317,2010
1000140,1246,2010
1000141,1190,2010
1000142,1293,2010
1000143,1435,2010
1000144,1307,2010
1000145,1285,2010
1000146,1320,2010
1000147,1424,2010
1000148,1325,2010
1000149,1207,2010
1000150,1330,2010
1000151,1323,2010
1000152,1388,2010
1000153,1350,2010
1000154,1397,2010
1000155,1361,2010
1000156,1437,2010
1000157,1352,2010
1000158,1448,2010
1000159,1400,2010
1000160,1449,2010
1000161,1266,2010
1000162,1143,2010
1000163,1257,2010
1000164,1165,2010
1000165,1396,2010
1000166,1181,2010
1000168,1210,2010
1000169,1329,2010
1000170,1211,2010
1000171,1199,2010
1000172,1268,2010
1000173,1222,2010
1000174,1277,2010
1000175,1308,2010
1000176,1281,2010
1000177,1155,2010
1000178,1326,2010
1000179,1364,2010
1000180,1338,2010
1000181,1324,2010
1000182,1345,2010
1000183,1373,2010
1000184,1393,2010
1000185,1436,2010
1000186,1401,2010
1000187,1429,2010
1000188,1452,2010
1000189,1288,2010
1000190,1458,2010
1000191,1459,2010
1000192,1462,2010
1000193,1278,2010
1000256,1155,2011
1000257,1412,2011
1000258,1421,2011
1000259,1114,2011
1000260,1427,2011
1000261,1106,2011
1000262,1433,2011
1000263,1425,2011
1000264,1139,2011
1000265,1330,2011
1000266,1140,2011
1000267,1459,2011
1000268,1153,2011
1000269,1281,2011
1000270,1163,2011
1000271,1137,2011
1000272,1196,2011
1000273,1364,2011
1000274,1211,2011
1000275,1385,2011
1000276,1243,2011
1000277,1429,2011
1000278,1246,2011
1000279,1343,2011
1000280,1287,2011
1000281,1257,2011
1000282,1338,2011
1000284,1350,2011
1000285,1435,2011
1000286,1361,2011
1000287,1294,2011
1000288,1396,2011
1000289,1336,2011
1000290,1417,2011
1000291,1277,2011
1000292,1452,2011
1000294,1458,2011
1000295,1125,2011
1000296,1112,2011
1000297,1272,2011
1000298,1181,2011
1000299,1214,2011
1000300,1199,2011
1000301,1401,2011
1000302,1206,2011
1000303,1437,2011
1000304,1228,2011
1000305,1424,2011
1000306,1242,2011
1000307,1131,2011
1000308,1266,2011
1000309,1462,2011
1000310,1276,2011
1000311,1397,2011
1000312,1314,2011
1000313,1254,2011
1000314,1323,2011
1000315,1103,2011
1000316,1326,2011
1000318,1345,2011
1000319,1389,2011
1000320,1393,2011
1000321,1232,2011
1000322,1400,2011
1000323,1324,2011
1000325,1207,2011
1000326,1449,2011
1000327,1208,2011
1000390,1140,2012
1000391,1233,2012
1000392,1443,2012
1000393,1290,2012
1000394,1378,2012
1000395,1143,2012
1000396,1436,2012
1000397,1249,2012
1000398,1124,2012
1000399,1355,2012
1000400,1160,2012
1000401,1424,2012
1000402,1211,2012
1000403,1452,2012
1000404,1231,2012
1000405,1308,2012
1000406,1235,2012
1000407,1163,2012
1000408,1243,2012
1000409,1379,2012
1000410,1246,2012
1000412,1257,2012
1000413,1172,2012
1000414,1266,2012
1000416,1293,2012
1000417,1161,2012
1000418,1307,2012
1000419,1253,2012
1000420,1326,2012
1000421,1259,2012
1000422,1393,2012
1000423,1421,2012
1000424,1433,2012
1000425,1455,2012
1000426,1435,2012
1000427,1217,2012
1000428,1458,2012
1000429,1285,2012
1000430,1153,2012
1000431,1400,2012
1000432,1166,2012
1000433,1104,2012
1000434,1196,2012
1000435,1438,2012
1000436,1199,2012
1000437,1382,2012
1000438,1207,2012
1000439,1125,2012
1000440,1242,2012
1000441,1178,2012
1000442,1250,2012
1000443,1181,2012
1000444,1277,2012
1000445,1254,2012
1000446,1301,2012
1000447,1361,2012
1000448,1313,2012
1000449,1281,2012
1000450,1314,2012
1000452,1325,2012
1000453,1276,2012
1000454,1345,2012
1000455,1388,2012
1000457,1396,2012
1000458,1387,2012
1000459,1272,2012
1000460,1462,2012
1000461,1323,2012
1000524,1299,2013
1000525,1251,2013
1000526,1388,2013
1000527,1292,2013
1000528,1241,2013
1000529,1254,2013
1000530,1247,2013
1000531,1129,2013
1000532,1112,2013
1000533,1125,2013
1000534,1139,2013
1000535,1137,2013
1000536,1143,2013
1000537,1424,2013
1000538,1161,2013
1000539,1281,2013
1000540,1211,2013
1000541,1380,2013
1000542,1217,2013
1000543,1307,2013
1000544,1257,2013
1000546,1266,2013
1000547,1172,2013
1000548,1272,2013
1000550,1276,2013
1000551,1355,2013
1000552,1277,2013
1000553,1434,2013
1000554,1332,2013
1000555,1329,2013
1000556,1387,2013
1000557,1308,2013
1000558,1393,2013
1000559,1285,2013
1000560,1433,2013
1000561,1103,2013
1000562,1455,2013
1000563,1338,2013
1000564,1166,2013
1000565,1153,2013
1000566,1181,2013
1000567,1107,2013
1000568,1195,2013
1000569,1207,2013
1000570,1196,2013
1000571,1322,2013
1000572,1228,2013
1000573,1160,2013
1000574,1231,2013
1000576,1235,2013
1000577,1323,2013
1000578,1242,2013
1000579,1443,2013
1000581,1243,2013
1000582,1274,2013
1000583,1334,2013
1000584,1278,2013
1000585,1417,2013
1000586,1279,2013
1000587,1458,2013
1000588,1314,2013
1000589,1437,2013
1000590,1326,2013
1000591,1233,2013
1000592,1361,2013
1000593,1328,2013
1000594,1396,2013
1000595,1301,2013
1000658,1107,2014
1000659,1291,2014
1000660,1301,2014
1000661,1462,2014
1000662,1142,2014
1000663,1411,2014
1000664,1397,2014
1000665,1234,2014
1000666,1163,2014
1000667,1386,2014
1000668,1173,2014
1000669,1326,2014
1000670,1196,2014
1000672,1217,2014
1000673,1153,2014
1000674,1257,2014
1000675,1264,2014
1000676,1276,2014
1000677,1459,2014
1000678,1277,2014
1000679,1174,2014
1000680,1295,2014
1000681,1328,2014
1000682,1332,2014
1000683,1140,2014
1000684,1338,2014
1000685,1160,2014
1000686,1361,2014
1000687,1308,2014
1000688,1387,2014
1000690,1393,2014
1000691,1444,2014
1000692,1400,2014
1000693,1113,2014
1000694,1437,2014
1000695,1454,2014
1000696,1458,2014
1000697,1110,2014
1000698,1112,2014
1000699,1451,2014
1000700,1124,2014
1000701,1304,2014
1000702,1166,2014
1000703,1418,2014
1000704,1211,2014
1000705,1329,2014
1000706,1235,2014
1000707,1300,2014
1000708,1242,2014
1000709,1184,2014
1000710,1246,2014
1000711,1243,2014
1000712,1272,2014
1000713,1203,2014
1000714,1273,2014
1000715,1181,2014
1000716,1314,2014
1000717,1344,2014
1000718,1372,2014
1000719,1433,2014
1000720,1390,2014
1000721,1307,2014
1000723,1269,2014
1000724,1417,2014
1000725,1409,2014
1000726,1438,2014
1000727,1157,2014
1000728,1455,2014
1000792,1214,2015
1000793,1264,2015
1000794,1279,2015
1000795,1140,2015
1000796,1173,2015
1000797,1129,2015
1000798,1352,2015
1000799,1316,2015
1000800,1112,2015
1000801,1411,2015
1000802,1116,2015
1000803,1459,2015
1000804,1139,2015
1000805,1400,2015
1000806,1153,2015
1000807,1345,2015
1000808,1207,2015
1000809,1186,2015
1000810,1209,2015
1000811,1124,2015
1000812,1246,2015
1000814,1301,2015
1000815,1261,2015
1000816,1314,2015
1000817,1217,2015
1000818,1323,2015
1000819,1318,2015
1000820,1326,2015
1000821,1433,2015
1000822,1412,2015
1000823,1235,2015
1000824,1417,2015
1000825,1374,2015
1000826,1428,2015
1000827,1372,2015
1000828,1437,2015
1000829,1248,2015
1000830,1462,2015
1000833,1344,2015
1000834,1181,2015
1000836,1211,2015
1000837,1295,2015
1000838,1234,2015
1000839,1172,2015
1000840,1242,2015
1000841,1308,2015
1000842,1257,2015
1000843,1414,2015
1000844,1268,2015
1000845,1434,2015
1000846,1277,2015
1000847,1208,2015
1000848,1320,2015
1000849,1461,2015
1000850,1328,2015
1000851,1107,2015
1000852,1332,2015
1000853,1329,2015
1000854,1361,2015
1000855,1385,2015
1000856,1438,2015
