Team,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTS/G,Team_ID,Date
morehead-state,36.0,,865,1978,.437,677,1413,.479,188,565,.333,593,823,.721,498,902,1400,464,239,139,557,657,2511,69.8,1287,2009.0
connecticut,36.0,7375.0,996,2102,.474,831,1618,.514,165,484,.341,662,976,.678,511,1048,1559,567,209,280,458,471,2819,78.3,1163,2009.0
duke,37.0,7425.0,971,2186,.444,704,1420,.496,267,766,.349,658,904,.728,490,858,1348,492,311,146,454,671,2867,77.5,1181,2009.0
gonzaga,34.0,6850.0,967,1982,.488,716,1339,.535,251,643,.390,499,696,.717,345,931,1276,512,246,174,386,551,2684,78.9,1211,2009.0
louisiana-state,35.0,7050.0,937,2093,.448,724,1521,.476,213,572,.372,530,740,.716,475,890,1365,529,267,212,425,609,2617,74.8,1261,2009.0
maryland,35.0,7075.0,924,2179,.424,723,1575,.459,201,604,.333,463,611,.758,464,810,1274,511,268,145,428,582,2512,71.8,1268,2009.0
memphis,37.0,7425.0,979,2176,.450,757,1495,.506,222,681,.326,599,868,.690,498,954,1452,526,328,222,464,654,2779,75.1,1272,2009.0
michigan,35.0,7100.0,812,1910,.425,507,998,.508,305,912,.334,412,544,.757,336,751,1087,542,223,92,402,535,2341,66.9,1276,2009.0
north-carolina,38.0,7625.0,1205,2509,.480,941,1827,.515,264,682,.387,739,983,.752,556,1038,1594,685,325,196,472,608,3413,89.8,1314,2009.0
oklahoma,36.0,7225.0,982,1997,.492,740,1308,.566,242,689,.351,627,929,.675,435,967,1402,521,249,156,500,616,2833,78.7,1328,2009.0
purdue,37.0,7475.0,914,2071,.441,670,1367,.490,244,704,.347,483,687,.703,363,908,1271,552,265,176,426,650,2555,69.1,1345,2009.0
texas,35.0,7050.0,917,2063,.444,751,1497,.502,166,566,.293,532,797,.668,496,863,1359,448,217,187,442,674,2532,72.3,1400,2009.0
texas-am,34.0,,822,1831,.449,620,1271,.488,202,560,.361,594,856,.694,422,827,1249,427,164,133,432,585,2440,71.8,1401,2009.0
ucla,35.0,7025.0,967,1973,.490,705,1317,.535,262,656,.399,446,616,.724,395,756,1151,541,292,110,440,598,2642,75.5,1417,2009.0
villanova,38.0,,990,2193,.451,743,1492,.498,247,701,.352,692,919,.753,477,972,1449,551,300,128,505,735,2919,76.8,1437,2009.0
western-kentucky,34.0,6800.0,871,1929,.452,605,1215,.498,266,714,.373,446,647,.689,432,819,1251,454,193,111,452,587,2454,72.2,1443,2009.0
washington,35.0,,977,2136,.457,831,1703,.488,146,433,.337,650,929,.700,532,905,1437,458,259,95,515,683,2750,78.6,1449,2009.0
arizona,35.0,7025.0,897,1892,.474,685,1344,.510,212,548,.387,523,709,.738,387,796,1183,500,217,104,442,548,2529,72.3,1112,2009.0
arizona-state,35.0,7100.0,825,1718,.480,537,940,.571,288,778,.370,490,665,.737,288,797,1085,544,201,72,401,557,2428,69.4,1113,2009.0
cleveland-state,37.0,7400.0,882,2043,.432,702,1465,.479,180,578,.311,511,729,.701,441,826,1267,512,320,118,454,680,2455,66.4,1156,2009.0
dayton,35.0,7050.0,831,1972,.421,641,1393,.460,190,579,.328,487,752,.648,484,844,1328,485,227,124,475,672,2339,66.8,1173,2009.0
kansas,35.0,7025.0,945,1979,.478,728,1394,.522,217,585,.371,567,782,.725,421,950,1371,555,239,155,508,664,2674,76.4,1242,2009.0
louisville,37.0,,1001,2189,.457,696,1362,.511,305,827,.369,441,687,.642,464,931,1395,625,335,223,508,625,2748,74.3,1257,2009.0
marquette,35.0,7025.0,914,2023,.452,671,1322,.508,243,701,.347,668,918,.728,425,822,1247,526,275,100,408,623,2739,78.3,1266,2009.0
michigan-state,38.0,7600.0,962,2135,.451,761,1568,.485,201,567,.354,612,877,.698,533,949,1482,611,248,107,532,734,2737,72.0,1277,2009.0
missouri,38.0,7600.0,1124,2381,.472,861,1635,.527,263,746,.353,585,871,.672,486,907,1393,699,388,140,449,758,3096,81.5,1281,2009.0
